Super-Aggregation,Aggregation Level,Year,Sample Year End Date,Metric,Result Category,Concern Category,Proportion 2007,Lower Bound 2007,Upper Bound 2007,Change Analysis,Detectable,Proportion 2012,Lower Bound 2012,Upper Bound 2012,Proportions Difference,Lower Bound Difference,Upper Bound Difference,DiffEst,LB2-LB1,Significant
National,National,2007,12/31/07,Chlorophyll a,High Risk,Poor,0.12,0.10,0.14,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
National,National,2007,12/31/07,Cyanobacteria,Low Risk,Good,0.73,0.70,0.75,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
National,National,2007,12/31/07,Cyanobacteria,Moderate Risk,Fair,0.20,0.18,0.23,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
National,National,2007,12/31/07,Cyanobacteria,High Risk,Poor,0.07,0.05,0.09,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
National,National,2007,12/31/07,Microcystin Risk,Low Risk,Good,0.99,0.98,0.99,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
National,National,2007,12/31/07,Microcystin Risk,Moderate Risk,Fair,0.01,0.00,0.01,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
National,National,2007,12/31/07,Microcystin Risk,High Risk,Poor,0.00,0.00,0.01,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
National,National,2007,12/31/07,Microcystin Presence,Present,Poor,0.30,0.27,0.33,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
National,National,2007,12/31/07,Microcystin Presence,Not Present,Good,0.70,0.67,0.73,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
National,National,2007,12/31/07,Trophic State (Chlorophyll),Oligotrophic,Good: Oligotrophic,0.13,0.11,0.15,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
National,National,2007,12/31/07,Trophic State (Chlorophyll),Mesotrophic,Good: Mesotrophic,0.37,0.34,0.40,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
National,National,2007,12/31/07,Trophic State (Chlorophyll),Eutrophic,Good: Eutrophic,0.30,0.27,0.33,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
National,National,2007,12/31/07,Trophic State (Chlorophyll),Hypereutrophic,Poor,0.20,0.18,0.23,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
National,National,2007,12/31/07,Nitrogen,Good,Good,0.54,0.51,0.57,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
National,National,2007,12/31/07,Nitrogen,Fair,Fair,0.27,0.24,0.30,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
National,National,2007,12/31/07,Nitrogen,Poor,Poor,0.19,0.17,0.22,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
National,National,2007,12/31/07,Phosphorus,Good,Good,0.58,0.55,0.61,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
National,National,2007,12/31/07,Phosphorus,Fair,Fair,0.24,0.21,0.26,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
National,National,2007,12/31/07,Phosphorus,Poor,Poor,0.18,0.16,0.21,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
National,National,2007,12/31/07,Lakeshore Habitat,Good,Good,0.46,0.42,0.49,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
National,National,2007,12/31/07,Lakeshore Habitat,Fair,Fair,0.18,0.16,0.20,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
National,National,2007,12/31/07,Lakeshore Habitat,Poor,Poor,0.36,0.33,0.39,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
National,National,2007,12/31/07,Shallow Water Habitat,Good,Good,0.59,0.56,0.62,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
National,National,2007,12/31/07,Shallow Water Habitat,Fair,Fair,0.21,0.18,0.23,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
National,National,2007,12/31/07,Shallow Water Habitat,Poor,Poor,0.20,0.18,0.23,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
National,National,2007,12/31/07,Physical Habitat Complexity,Good,Good,0.47,0.44,0.50,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
National,National,2007,12/31/07,Physical Habitat Complexity,Fair,Fair,0.20,0.18,0.23,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
National,National,2007,12/31/07,Physical Habitat Complexity,Poor,Poor,0.32,0.30,0.35,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
National,National,2007,12/31/07,Lakeshore Disturbance,Good,Good,0.35,0.32,0.38,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
National,National,2007,12/31/07,Lakeshore Disturbance,Fair,Fair,0.48,0.45,0.51,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
National,National,2007,12/31/07,Lakeshore Disturbance,Poor,Poor,0.17,0.15,0.19,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Fed_nonFed,BLM,2007,12/31/07,Total_Phosphorus,Good,Good,0.52,0.29,0.76,No,No,0.99,0.98,0.99,,,,0.028,0.069,Yes
Fed_nonFed,BLM,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.24,0.01,0.46,No,No,0.01,0.01,0.02,,,,0.032,0.015,No
Fed_nonFed,BLM,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.24,0.10,0.38,No,No,0,0,0,,,,0.083,0.083,No
Fed_nonFed,BLM,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,No,No,0.88,0.86,0.9,,,,0.04,0.009,No
Fed_nonFed,DOD,2007,12/31/07,Total_Phosphorus,Good,Good,0.84,0.61,1.00,No,No,0.06,0.04,0.07,,,,0.016,0.052,Yes
Fed_nonFed,DOD,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.16,0.00,0.39,No,No,0.01,0.01,0.02,,,,0.012,0.003,Yes
Fed_nonFed,DOD,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,No,No,0.05,0.03,0.06,,,,0.049,0.035,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Total_Phosphorus,Good,Good,0.75,0.59,0.90,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Fed_nonFed,Forest Service,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.13,0.02,0.23,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Fed_nonFed,Forest Service,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.13,0.01,0.24,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Fed_nonFed,Forest Service,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Total_Phosphorus,Good,Good,0.42,0.35,0.49,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.15,0.12,0.19,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.42,0.36,0.49,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Fed_nonFed,Non Federal,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Phosphorus,Good,Good,0.13,0.00,0.30,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.69,0.34,1.00,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.18,0.00,0.41,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Fed_nonFed,US FWS,2007,12/31/07,Total_Phosphorus,Good,Good,0.09,0.00,0.21,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Fed_nonFed,US FWS,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.04,0.00,0.13,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Fed_nonFed,US FWS,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.87,0.69,1.00,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Fed_nonFed,US FWS,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Fed_nonFed,US NPS,2007,12/31/07,Total_Phosphorus,Good,Good,0.39,0.01,0.77,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Fed_nonFed,US NPS,2007,12/31/07,Total_Phosphorus,Fair,Fair,0.48,0.03,0.93,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Fed_nonFed,US NPS,2007,12/31/07,Total_Phosphorus,Poor,Poor,0.13,0.00,0.34,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Fed_nonFed,US NPS,2007,12/31/07,Total_Phosphorus,Total,Total,1.00,1.00,1.00,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Fed_nonFed,BLM,2007,12/31/07,Total_Nitrogen,Good,Good,0.51,0.29,0.73,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Fed_nonFed,BLM,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.27,0.08,0.46,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Fed_nonFed,BLM,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.22,0.04,0.41,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Fed_nonFed,BLM,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Fed_nonFed,DOD,2007,12/31/07,Total_Nitrogen,Good,Good,0.83,0.59,1.00,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Fed_nonFed,DOD,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.01,0.00,0.02,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Fed_nonFed,DOD,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.16,0.00,0.39,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Fed_nonFed,DOD,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Total_Nitrogen,Good,Good,0.57,0.33,0.80,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.36,0.13,0.59,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.07,0.01,0.13,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Fed_nonFed,Forest Service,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Fed_nonFed,Non Federal,2007,12/31/07,Total_Nitrogen,Good,Good,0.40,0.33,0.47,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Fed_nonFed,Non Federal,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.16,0.12,0.20,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.44,0.37,0.51,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Nitrogen,Good,Good,0.05,0.00,0.14,No,,0.99,0.98,0.99,,,,0.028,0.069,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.71,0.36,1.00,No,,0.01,0.01,0.02,,,,0.032,0.015,No
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.24,0.00,0.54,No,,0,0,0,,,,0.083,0.083,No
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,No,,0.88,0.86,0.9,,,,0.04,0.009,No
Fed_nonFed,US FWS,2007,12/31/07,Total_Nitrogen,Good,Good,0.11,0.00,0.26,No,,0.06,0.04,0.07,,,,0.016,0.052,Yes
Fed_nonFed,US FWS,2007,12/31/07,Total_Nitrogen,Fair,Fair,0.75,0.42,1.00,No,,0.01,0.01,0.02,,,,0.012,0.003,Yes
Fed_nonFed,US FWS,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.14,0.00,0.34,No,,0.05,0.03,0.06,,,,0.049,0.035,Yes
Fed_nonFed,US FWS,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Fed_nonFed,US NPS,2007,12/31/07,Total_Nitrogen,Good,Good,0.55,0.11,0.99,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Fed_nonFed,US NPS,2007,12/31/07,Total_Nitrogen,Poor,Poor,0.45,0.01,0.89,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Fed_nonFed,US NPS,2007,12/31/07,Total_Nitrogen,Total,Total,1.00,1.00,1.00,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Fed_nonFed,BLM,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Fed_nonFed,BLM,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Fed_nonFed,DOD,2007,12/31/07,Acidification,Good,Good,0.88,0.65,1.00,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Fed_nonFed,DOD,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.12,0.00,0.35,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Fed_nonFed,DOD,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Fed_nonFed,Forest Service,2007,12/31/07,Acidification,Good,Good,0.96,0.90,1.00,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.02,0.00,0.04,Yes,No,0.01,0,0.01,0,-0.01,0.01,0.012,0.062,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Acidification,Natural_Organic_Acid,Natural_Organic_Acid,0.03,0.00,0.07,Yes,No,0,0,0.01,0,-0.01,0.01,0.05,0.018,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.3,0.26,0.34,0.09,0.065,No
Fed_nonFed,Non Federal,2007,12/31/07,Acidification,Good,Good,0.97,0.95,0.99,Yes,Yes,0.4,0.37,0.43,-0.3,-0.34,-0.26,0.038,0.086,No
Fed_nonFed,Non Federal,2007,12/31/07,Acidification,Fair-Low_ANC_Dep,Fair-Low_ANC_Dep,0.02,0.00,0.04,Yes,No,0.13,0.11,0.15,0,-0.03,0.03,0.023,0.025,No
Fed_nonFed,Non Federal,2007,12/31/07,Acidification,Poor-Acid_Mine,Poor-Acid_Mine,0.00,0.00,0.00,Yes,No,0.36,0.33,0.39,-0.01,-0.05,0.03,0.064,0.094,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Acidification,Natural_Organic_Acid,Natural_Organic_Acid,0.00,0.00,0.01,Yes,No,0.29,0.26,0.32,-0.01,-0.05,0.03,0.098,0.079,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,No,0.22,0.2,0.25,0.02,-0.02,0.06,0.009,0.087,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,Yes,0.43,0.4,0.46,-0.1,-0.15,-0.06,0.072,0.082,No
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.17,0.14,0.19,-0.1,-0.14,-0.07,0.004,0.011,No
Fed_nonFed,US FWS,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,Yes,0.4,0.37,0.43,0.21,0.17,0.25,0.077,0.085,No
Fed_nonFed,US FWS,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.6,0.57,0.63,0.02,-0.02,0.06,0.03,0.084,Yes
Fed_nonFed,US NPS,2007,12/31/07,Acidification,Good,Good,1.00,1.00,1.00,Yes,Yes,0.26,0.23,0.29,0.02,-0.02,0.06,0.058,0.005,Yes
Fed_nonFed,US NPS,2007,12/31/07,Acidification,Total,Total,1.00,1.00,1.00,Yes,Yes,0.14,0.12,0.16,-0.04,-0.07,-0.01,0.057,0,Yes
Fed_nonFed,BLM,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.01,0.00,0.02,Yes,No,0.46,0.43,0.49,0,-0.04,0.05,0.041,0.091,No
Fed_nonFed,BLM,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.00,0.00,0.01,Yes,No,0.18,0.16,0.21,0,-0.03,0.04,0.061,0.013,No
Fed_nonFed,BLM,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.79,0.62,0.96,Yes,No,0.35,0.32,0.38,-0.01,-0.05,0.03,0.027,0.011,No
Fed_nonFed,BLM,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.20,0.03,0.37,Yes,No,0.61,0.58,0.64,0.02,-0.02,0.06,0.065,0.085,Yes
Fed_nonFed,BLM,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.23,0.2,0.25,0.02,-0.01,0.06,0.08,0.087,Yes
Fed_nonFed,DOD,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),1.00,1.00,1.00,Yes,No,0.16,0.14,0.18,-0.04,-0.08,-0.01,0.022,0.052,Yes
Fed_nonFed,DOD,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.46,0.43,0.49,-0.01,-0.05,0.04,0.07,0.015,No
Fed_nonFed,Forest Service,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.04,0.00,0.09,Yes,No,0.19,0.17,0.22,-0.01,-0.04,0.03,0.078,0.07,No
Fed_nonFed,Forest Service,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.00,0.00,0.00,Yes,No,0.34,0.31,0.37,0.02,-0.02,0.06,0.039,0.095,No
Fed_nonFed,Forest Service,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.92,0.85,0.99,Yes,No,0.34,0.31,0.37,-0.01,-0.05,0.03,0.032,0.032,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.04,0.00,0.09,Yes,No,0.47,0.44,0.5,-0.01,-0.05,0.03,0.086,0.037,Yes
Fed_nonFed,Forest Service,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.19,0.17,0.22,0.02,-0.01,0.05,0.1,0.035,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Dissolved_Oxygen,Low (<= 3 ppm),Low (<= 3 ppm),0.02,0.00,0.04,No,No,0.99,0.98,0.99,,,,0.028,0.069,Yes
Fed_nonFed,Non Federal,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.09,0.04,0.15,No,No,0.01,0.01,0.02,,,,0.032,0.015,No
Fed_nonFed,Non Federal,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.87,0.81,0.92,No,No,0,0,0,,,,0.083,0.083,No
Fed_nonFed,Non Federal,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.01,0.01,0.02,No,No,0.88,0.86,0.9,,,,0.04,0.009,No
Fed_nonFed,Non Federal,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,No,No,0.06,0.04,0.07,,,,0.016,0.052,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),1.00,1.00,1.00,No,No,0.01,0.01,0.02,,,,0.012,0.003,Yes
Fed_nonFed,Tribal Land - US Census,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,No,No,0.05,0.03,0.06,,,,0.049,0.035,Yes
Fed_nonFed,US FWS,2007,12/31/07,Dissolved_Oxygen,Moderate (> 3 - < 5 ppm),Moderate (> 3 - < 5 ppm),0.00,0.00,0.01,Yes,No,0.54,0.51,0.57,-0.02,-0.07,0.02,0.044,0.006,No
Fed_nonFed,US FWS,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),1.00,0.99,1.00,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
Fed_nonFed,US FWS,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
Fed_nonFed,US NPS,2007,12/31/07,Dissolved_Oxygen,High (>= 5 ppm),High (>= 5 ppm),0.94,0.81,1.00,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
Fed_nonFed,US NPS,2007,12/31/07,Dissolved_Oxygen,Not Assessed,Not Assessed,0.06,0.00,0.19,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
Fed_nonFed,US NPS,2007,12/31/07,Dissolved_Oxygen,Total,Total,1.00,1.00,1.00,Yes,No,0.14,0.12,0.16,0.01,-0.02,0.04,0.01,0.03,Yes
Fed_nonFed,BLM,2007,12/31/07,Trophic_State,Oligotrophic,Oligotrophic,0.21,0.00,0.42,Yes,Yes,0.71,0.68,0.74,-0.01,-0.05,0.03,0.09,0.079,No
Fed_nonFed,BLM,2007,12/31/07,Trophic_State,Mesotrophic,Mesotrophic,0.42,0.16,0.68,Yes,Yes,0.19,0.17,0.22,-0.01,-0.05,0.02,0.047,0.006,No
Fed_nonFed,BLM,2007,12/31/07,Trophic_State,Eutrophic,Eutrophic,0.34,0.10,0.58,Yes,Yes,0.1,0.08,0.11,0.03,0,0.05,0.099,0.058,No
Fed_nonFed,BLM,2007,12/31/07,Trophic_State,Hypereutrophic,Hypereutrophic,0.03,0.00,0.06,Yes,No,0.99,0.98,0.99,0,-0.01,0.01,0.051,0.091,Yes
